Numer KRS,Regon,Nip,Nazwa firmy,Forma prawna,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer domu,Numer lokalu,Kod pocztowy,Poczta,Numer kierunkowy 1,Telefon 1,Numer kierunkowy 2,Telefon 2,Kierunowy fax,Fax,Kapitał,Data rozpoczęcia działalności,Data powstania,Adres WWW,Adres Email,Główny PKD,Zatrudnienie,PKD 1,PKD 2,PKD 3,Pierwsze imię,Drugie imię,Nazwisko lub Nazwa ,Nazwisko drugi człon,Funkcja,Data wpisania,Column1
i2820493,120182726,6831962271,WIELICKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,WIELICKI,WIELICZKA,WIELICZKA,UL. RYNEK GÓRNY,6,,32-020,WIELICZKA,,122783200,,,,122783200,0,2/1/2006,2/1/2006,www.ckit.wieliczka.eu,wck@wieliczka.eu,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i3142800,351371115,6831838921,POLE KULTURY SAMORZĄDOWA INSTYTUCJA KULTURY MIASTA I GMINY NIEPOŁOMICE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,WIELICKI,NIEPOŁOMICE,NIEPOŁOMICE,UL. ZAMKOWA,4,,32-005,NIEPOŁOMICE,,122811117,,,,,0,7/30/1991,7/30/1991,www.kultura.niepolomice.pl,kultura@kultura.niepolomice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2826580,851762314,8681650653,GMINNE CENTRUM KULTURY I PROMOCJI W DRWINI Z SIEDZIBĄ W GROBLI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,BOCHEŃSKI,DRWINIA,GROBLA,,155,,32-708,DZIEWIN,,122817044,,,,122817044,0,2/1/2008,1/29/2008,,gckipgrobla@interia.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820580,357198474,6281979101,SAMORZĄDOWY OŚRODEK KULTURY W ALWERNI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,CHRZANOWSKI,ALWERNIA,ALWERNIA,RYNEK,3,,32-566,ALWERNIA,,122833560,,,,122584360,0,8/1/1995,8/1/1995,www.sok.alwernia.pl/http,sokalwernia@home.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2381884,350664884,6762048563,SAMORZĄDOWE CENTRUM KULTURY I PROMOCJI GMINY ZABIERZÓW,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,ZABIERZÓW,ZABIERZÓW,UL. SZKOLNA,2,,32-080,ZABIERZÓW,,122851179,,,,122852755,0,9/3/1993,9/3/1993,,sekretariat@sckipgz.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i3676990,120870366,6821727166,CENTRUM KULTURY I PROMOCJI W IGOŁOMI-WAWRZEŃCZYCACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,IGOŁOMIA-WAWRZEŃCZYCE,WAWRZEŃCZYCE,,160,,32-125,WAWRZEŃCZYCE,,122874010,,,,,0,3/20/2009,2/26/2009,,ckip@poczta.onet.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820576,356312880,6811806935,GMINNY OŚRODEK KULTURY I SPORTU W SIEPRAWIU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,MYŚLENICKI,SIEPRAW,SIEPRAW,UL. JANA PAWŁA II,100,,32-447,SIEPRAW,,123721800,,,,,0,7/1/2001,6/28/2001,,biuro@gokis.siepraw.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820536,120479952,6821701468,MIEJSKO-GMINNE CENTRUM KULTURY I PROMOCJI IM.ALICJI I FRANCISZKA BRYŁÓW,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,PROSZOWICKI,NOWE BRZESKO,NOWE BRZESKO,UL. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,17A,,32-120,NOWE BRZESKO,,123852944,,,,,0,3/1/2007,3/1/2007,,mgckip@nowe-brzesko.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2357404,640024,6821007325,CENTRUM KULTURY I WYPOCZYNKU W PROSZOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,PROSZOWICKI,PROSZOWICE,PROSZOWICE,RYNEK,18,,32-100,PROSZOWICE,,123861924,,,,,0,1/1/1976,1/1/1976,,ckiw@tlen.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820532,357240236,6821564528,GMINNY OŚREDEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,PROSZOWICKI,KONIUSZA,KONIUSZA,,5,,32-104,KONIUSZA,,123869424,,,,,0,9/14/2000,9/14/2000,,gok@autograf.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2713998,356272553,9442005996,MIEJSKO-GMINNE CENTRUM KULTURY W SŁOMNIKACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,SŁOMNIKI,SŁOMNIKI,UL. WOLNOŚCI,4,,32-090,SŁOMNIKI,,123881149,,,,,0,10/2/2000,10/2/2000,,mgck@mgckslomniki.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2531860,363402869,6821771960,GMINNE CENTRUM KULTURY I BIBLIOTEK W IWANOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,IWANOWICE,IWANOWICE WŁOŚCIAŃSKIE,UL. STRAŻACKA,5,,32-095,IWANOWICE WŁOŚCIAŃSKIE,,123884516,,,,,0,12/9/2015,12/9/2015,www.gckib.iwanowice.pl/,gckib@iwanowice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820523,357234626,9441977705,CENTRUM KULTURY I PROMOCJI W MICHAŁOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,MICHAŁOWICE,MICHAŁOWICE,PL. JÓZEFA PIŁSUDSKIEGO,2,,32-091,MICHAŁOWICE,,123885071,,,,123885035,0,1/1/2001,12/27/2000,,ckip@michalowice.malopolska.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2381869,1265367,6771120805,"CENTRUM KULTURY, SPORTU I REKREACJI W SKALE",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,SKAŁA,SKAŁA,UL. BOHATERÓW WRZEŚNIA,42,,32-043,SKAŁA,,123891091,,,12,3891777,0,7/29/1987,7/29/1987,,cksir@cksir-skala.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820503,350962759,6771312605,GMINNY OŚRODEK KULTURY W JERZMANOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,JERZMANOWICE-PRZEGINIA,JERZMANOWICE,UL. CENTRALNA,97,,32-048,JERZMANOWICE,,123895197,,,,,0,5/4/1992,5/4/1992,,gok@jerzmanowice.eu,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820502,357203962,9441952668,CENTRUM KULTURY W SUŁOSZOWEJ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,SUŁOSZOWA,SUŁOSZOWA,UL. SZKOLNA,5,,32-045,SUŁOSZOWA,,123896046,,,,,0,6/21/2000,6/21/2000,www.bibliotekasuloszowa.pct.net.pl,ck.suloszowa@op.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2713973,3893240,6751148261,MŁODZIEŻOWY DOM KULTURY PRZY UL. GRUNWALDZKIEJ W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-ŚRÓDMIEŚCIE,KRAKÓW,UL. GRUNWALDZKA,5,,31-526,KRAKÓW,,124116703,,,,124116703,0,7/1/1999,7/1/1999,www.mdkgrunwaldzka5.pl,mdkgrunwaldzka@poczta.fm,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'10-29, , , ,,,,,,,
i2713970,990385,6751196610,"MŁODZIEŻOWY DOM KULTURY ""DOM HARCERZA"" IM. PROF. ALEKSANDRA KAMIŃSKIEGO W KRAKOWIE",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-ŚRÓDMIEŚCIE,KRAKÓW,UL. LOTNICZA,1,,31-462,KRAKÓW,,124119189,,,,124119189,0,9/1/1978,9/1/1978,www.mdk-lotnicza.pl,sekretariat@mdk-lotnicza.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'10-29, , , ,,,,,,,
i2716681,1404350,9451472823,MŁODZIEŻOWY DOM KULTURY PRZY AL. 29 LISTOPADA W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-ŚRÓDMIEŚCIE,KRAKÓW,ALEJA 29 LISTOPADA,102,,31-406,KRAKÓW,,124158315,,,,124158315,0,9/15/1989,9/15/1989,www.mdkna102.krakow.pl,mdk29listopada@mjo.krakow.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'10-29, , , ,,,,,,,
i2820520,357778295,9441998802,GMINNY OŚRODEK KULTURY I SPORTU W WIELKIEJ WSI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,WIELKA WIEŚ,BIAŁY KOŚCIÓŁ,UL. KRÓLOWEJ JADWIGI,4,,32-089,BIAŁY KOŚCIÓŁ,,124191921,,,,,0,1/1/2001,3/1/1992,,gokis@wielka-wies.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2164691,284517,6750006470,"CENTRUM KULTURY ""DWOREK BIAŁOPRĄDNICKI""",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-KROWODRZA,KRAKÓW,UL. PAPIERNICZA,2,,31-221,KRAKÓW,,124204955,,,,124204968,0,12/15/1975,12/15/1975,www.dworek.eu/kontakt,sekretariat@dworek.eu,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i6185772,542102672,,KRAKOWSKIE FORUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-ŚRÓDMIEŚCIE,KRAKÓW,UL. MIKOŁAJSKA,2,,31-027,KRAKÓW,,124220814,,,,,0,7/1/2025,7/1/2025,www.krakowskieforum.pl,kfk@krakowskieforum.pl,"90.31.A - DZIAŁALNOŚĆ CENTRÓW KULTURY, DOMÓW I OŚRODKÓW KULTURY, KLUBÓW I ŚWIETLIC",'1-9, , , ,,,,,,,
i4405692,278267,6750004488,MAŁOPOLSKI INSTYTUT KULTURY W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-KROWODRZA,KRAKÓW,UL. 28 LIPCA 1943,17C,,30-233,KRAKÓW,,124221884,,,,124225562,0,12/15/1975,7/12/1999,www.mik.krakow.pl,instytut@mik.krakow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2164652,350015252,6751000104,MIĘDZYNARODOWE CENTRUM KULTURY W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI PAŃSTWOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-ŚRÓDMIEŚCIE,KRAKÓW,RYNEK GŁÓWNY,25,,31-008,KRAKÓW,,124242811,,,,,0,7/5/1991,7/5/1991,www.mck.krakow.pl,,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2164625,719441,6792180474,MŁODZIEŻOWY DOM KULTURY IM. KONSTANTEGO ILDEFONSA GAŁCZYŃSKIEGO W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-PODGÓRZE,KRAKÓW,UL. BESKIDZKA,30,,30-611,KRAKÓW,,124255223,,,12,4255223,0,9/1/1954,9/1/1954,www.mdkgal.edu.pl,mdkgalczynskiego@mjo.krakow.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'50-99, , , ,,,,,,,
i2164666,3891301,6751000535,STAROMIEJSKIE CENTRUM KULTURY MŁODZIEŻY W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-ŚRÓDMIEŚCIE,KRAKÓW,UL. HIERONIMA WIETORA,13-15,,31-067,KRAKÓW,,124305090,,,,124305154,0,1/15/1991,1/15/1991,www.sckm.krakow.pl,sckm@mjo.krakow.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'50-99, , , ,,,,,,,
i3749225,368991422,6762542091,MAŁOPOLSKIE CENTRUM NAUKI COGITEON,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-NOWA HUTA,KRAKÓW,UL. STEFANA STECA,1,,31-866,KRAKÓW,,126188031,,,,,0,12/15/2017,12/15/2017,www.mcn.malopolska.pl,biuro@cogiteon.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2713943,700619,6771706876,"MŁODZIEŻOWY DOM KULTURY ""DOM HARCERZA"" W KRAKOWIE",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-KROWODRZA,KRAKÓW,UL. WŁADYSŁAWA REYMONTA,18,,30-059,KRAKÓW,,126373761,,,,126375935,0,10/12/1962,10/12/1962,www.mdk-dh.krakow.pl,mdkreymonta@mjo.krakow.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'10-29, , , ,,,,,,,
i2820486,1002538,6750006576,NOWOHUCKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-NOWA HUTA,KRAKÓW,ALEJA JANA PAWŁA II,232,,31-913,KRAKÓW,,126440266,,,,,0,9/15/1982,10/25/1992,,nck@nck.krakow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2713979,351001192,6781313032,OŚRODEK KULTURY KRAKÓW-NOWA HUTA,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-NOWA HUTA,KRAKÓW,OSIEDLE ZGODY,1,,31-949,KRAKÓW,,126442432,,,,,0,9/26/1991,9/26/1991,www.krakownh.pl,biuro@krakownh.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2164736,350761682,6751000328,OŚRODEK KULTURY IM.CYPRIANA KAMILA NORWIDA,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-NOWA HUTA,KRAKÓW,OSIEDLE GÓRALI,5,,31-959,KRAKÓW,,126442765,,,,,0,12/28/1994,12/28/1994,www.okn.edu.pl,sekretariat@okn.edu.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2713978,700571,6781315108,"MŁODZIEŻOWY DOM KULTURY FORT 49 ""KRZESŁAWICE"" W KRAKOWIE",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-NOWA HUTA,KRAKÓW,OSIEDLE NA STOKU,27B,,31-704,KRAKÓW,,126452714,,,,126452714,0,9/1/1971,9/1/1971,www.mdkfort49.krakow.pl,mdkfort49@mjo.krakow.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'10-29, , , ,,,,,,,
i2164727,700588,6781329530,MŁODZIEŻOWY DOM KULTURY IM. JANUSZA KORCZAKA W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-NOWA HUTA,KRAKÓW,OSIEDLE KALINOWE,18,,31-814,KRAKÓW,,126471525,,,,126483750,0,1/1/1993,1/1/1993,www.mdkkorczak.pl,mdkkorczaka@mjo.krakow.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'50-99, , , ,,,,,,,
i2164724,700565,6781674600,MŁODZIEŻOWY DOM KULTURY IM. ANDRZEJA BURSY W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-NOWA HUTA,KRAKÓW,OSIEDLE TYSIĄCLECIA,15,,31-606,KRAKÓW,,126484995,,,,126484995,0,1/1/1972,1/1/1972,www.mdk.krakow.pl,mdk@mdk.krakow.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'50-99, , , ,,,,,,,
i6391244,543614894,,CENTRUM KULTURY PODGÓRZA W KRAKOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,M. KRAKÓW,KRAKÓW-PODGÓRZE,KRAKÓW,UL. SOKOLSKA,13,,30-510,KRAKÓW,,126563670,,,,,0,1/1/2026,1/1/2026,www.ckpodgorza.pl/,sekretariat@ckpodgorza.pl,"90.31.A - DZIAŁALNOŚĆ CENTRÓW KULTURY, DOMÓW I OŚRODKÓW KULTURY, KLUBÓW I ŚWIETLIC",'1-9, , , ,,,,,,,
i2381893,357860105,9441996683,"CENTRUM KULTURY,PROMOCJI I REKREACJI W ZIELONKACH",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,ZIELONKI,ZIELONKI,UL. KSIĘDZA JANA MICHALIKA,2A,,32-087,ZIELONKI,,126651087,,,,126651047,0,1/2/2001,1/2/2001,www.zielonki.pl,ckpir.zielonki@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820489,356346122,6781993966,CENTRUM KULTURY I PROMOCJI W KOCMYRZOWIE-LUBORZYCY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,KOCMYRZÓW-LUBORZYCA,BARANÓWKA,UL. CHLEBOWA,2,,32-010,LUBORZYCA,,126871811,,,,123871811,0,4/3/2001,4/3/2001,,dyr.gok@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i4456066,385066012,6871970609,GMINNY OŚRODEK KULTURY W ZARSZYNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,PODKARPACKIE,SANOCKI,ZARSZYN,NOWOSIELCE,UL. ŚW. FLORIANA,2,,38-530,ZARSZYN,,133330002,,,,,0,12/1/2019,12/10/2019,www.gok.zarszyn.pl,gok@zarszyn.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
