Nazwa Firmy,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Domu,Numer Lokalu,Kod Pocztowy,Poczta,Telefon ,Adres WWW,Adres Email
Dom Kultury W Rybniku-Boguszowicach,Śląskie,M. Rybnik,M. Rybnik,Rybnik,Pl. Pokoju,1,,44-253,Rybnik,324252016,www.dkboguszowice.pl,dkboguszowice@gmail.com
Gminny Ośrodek Kultury W Horodle,Lubelskie,Hrubieszowski,Horodło,Horodło,Ul. Hrubieszowska,1,,22-523,Horodło,846515101,,domhor@interia.pl
Dom Kultury Im.Księżnej Anny Z Sapiehów Jabłonowskiej W Kocku,Lubelskie,Lubartowski,Kock,Kock,Ul. Tadeusza Kościuszki,1,,21-150,Kock,818591110,www.kock.naszgok.pl/,domkultury.kock@wp.pl
Chojnickie Centrum Kultury,Pomorskie,Chojnicki,Chojnice,Chojnice,Ul. Swarożyca,1,,89-600,Chojnice,523950150,www.chdk.chojnice.pl,sekretariat@ckchojnice.pl
"Miejskie Centrum Kultury, Aktywności I Promocji Gminy ""Stacja Kultury""",Dolnośląskie,Lubański,Świeradów-Zdrój,Świeradów-Zdrój,Ul. Dworcowa,1,,59-850,Świeradów-Zdrój,757136482,,dorota@swieradowzdroj.pl
Miejsko-Gminny Ośrodek Kultury,Lubuskie,Nowosolski,Bytom Odrzański,Bytom Odrzański,Aleja Złotej Jesieni,1,,67-115,Bytom Odrzański,683884032,,dyrektor@mgok.bytomodrzanski.pl
Dom Kultury W Zakrzewie,Kujawsko-Pomorskie,Aleksandrowski,Zakrzewo,Zakrzewo,Ul. Dworcowa,1,,87-707,Zakrzewo,542720407,,dyrektordk@zakrzewo.com.pl
Gminny Ośrodek Kultury W Nowym Duninowie Z Siedzibą W Soczewce,Mazowieckie,Płocki,Nowy Duninów,Soczewka,Ul. Im. Ks. Pawła Kwiatkowskiego,1,,09-506,Soczewka,242610151,,finanse@nowyduninow.info.pl
Gminne Centrum Kultury W Otyniu,Lubuskie,Nowosolski,Otyń,Otyń,Ul. Dworcowa,1,,67-106,Otyń,683321407,www.gokotyn.eu,gck@stacjakultura.eu
Gminne Centrum Kultury W Polichnie,Lubelskie,Kraśnicki,Szastarka,Polichna Czwarta,,1,,23-225,Szastarka,158714414,,gckpolichna@wp.pl
"Gminne Centrum Kultury, Sportu I Informacji Turystycznej W Rytwianach",Świętokrzyskie,Staszowski,Rytwiany,Rytwiany,Ul. Szkolna,1,,28-236,Rytwiany,158385406,www.rytwiany.naszgok.pl/kontakt-1,gckrytwiany@gckrytwiany.pl
"Gminne Centrum Kultury, Sportu I Rekreacji W Węglińcu",Dolnośląskie,Zgorzelecki,Węgliniec,Węgliniec,Ul. Plac Wolności,1,,59-940,Węgliniec,757236229,www.mgokwegliniec.pl,gcksir.wegliniec@gmail.com
Goleniowski Dom Kultury,Zachodniopomorskie,Goleniowski,Goleniów,Goleniów,Ul. Juliusza Słowackiego,1,,72-100,Goleniów,914182688,,gdk@goleniow.pl
Gminny Dom Kultury Z Biblioteką W Ksawerowie,Łódzkie,Pabianicki,Ksawerów,Ksawerów,Ul. Jana Pawła Ii,1,,95-054,Ksawerów,422072316,www.kultura-ksawerow.pl/przykladowa-strona/,gdkzb@ksawerow.com
Gminny Ośrodek Kultury W Charsznicy,Małopolskie,Miechowski,Charsznica,Miechów-Charsznica,Ul. Kolejowa,1,,32-250,Charsznica,413836110,,gmcharsz@complex.com.pl
Samorządowe Centrum Kulturalno-Społeczne,Mazowieckie,Sokołowski,Jabłonna Lacka,Jabłonna Lacka,Ul. Sienkiewicza,1,,08-304,Jabłonna Lacka,255065530,,gmina@jablonnalacka.com.pl
Gminne Centrum Czytelnictwa I Kultury W Krasnopolu,Podlaskie,Sejneński,Krasnopol,Krasnopol,Ul. 1 Maja,1,,16-503,Krasnopol,875164033,,gminne.centrum@ug.krasnopol.wrotapodlasia.pl
Gminny Ośrodek Kultury W Chojnicach,Pomorskie,Chojnicki,Chojnice,Chojnice,Ul. Kościerska,10,2,89-600,Chojnice,523972559,www.gokchojnice.pl,gok@gokchojnice.pl
Gminny Ośrodek Kultury W Milówce,Śląskie,Żywiecki,Milówka,Milówka,Ul. Dworcowa,1,,34-360,Milówka,338637399,,gok.milowka@interia.pl
Gminny Ośrodek Kultury,Wielkopolskie,Czarnkowsko-Trzcianecki,Połajewo,Połajewo,Ul. Obornicka,1,,64-710,Połajewo,672567151,,gok.polajewo@wp.pl
Gminny Ośrodek Kultury W Rutce-Tartak,Podlaskie,Suwalski,Rutka-Tartak,Rutka-Tartak,Ul. Szkolna,1,,16-406,Rutka-Tartak,875687201,,gok.rutkatartak@gmail.com
Centrum Kultury I Biblioteki Im. Jana Karnowskiego W Brusach,Pomorskie,Chojnicki,Brusy,Brusy,Ul. Dworcowa,18,,89-632,Brusy,523982965,www.ckibbrusy.pl/,mbpbrusy@interia.pl
Miejski Dom Kultury W Jeżowie,Łódzkie,Brzeziński,Jeżów,Jeżów,Ul. Kwiatowa,1,,95-047,Jeżów,468755203,,gok.tracz@interia.pl
Gminny Ośrodek Kultury W Bojadłach,Lubuskie,Zielonogórski,Bojadła,Bojadła,Ul. Boczna,1,A,66-130,Bojadła,683523440,www.bojadla.pl,gok@bojadla.pl
Gminny Ośrodek Kultury W Bojanowie,Podkarpackie,Stalowowolski,Bojanów,Bojanów,Ul. Strażacka,1,,37-433,Bojanów,158708306,www.bojanow.pl,gok@bojanow.pl
Gminny Ośrodek Kultury W Chełmcu,Małopolskie,Nowosądecki,Chełmiec,Chełmiec,Pl. Rynek,1,,33-395,Chełmiec,184433373,www.gok.chelmiec.pl,gok@chelmiec.pl
Gminny Ośrodek Kultury W Czerwinie,Mazowieckie,Ostrołęcki,Czerwin,Czerwin,Ul. Szkolna,1,,07-407,Czerwin,696154378,www.gok.czerwin.pl,gok@czerwin.pl
Gminny Ośrodek Kultury I Sportu W Filipowie,Podlaskie,Suwalski,Filipów,Filipów,Ul. Garbaska,1,,16-424,Filipów,875696094,www.filipow.e=kultura.pl,gok@filipow.pl
Gminny Ośrodek Kultury We Frysztaku,Podkarpackie,Strzyżowski,Frysztak,Twierdza,,1,,38-130,Frysztak,172777044,,gok@frysztak.pl
Gminny Ośrodek Kultury W Kluczach,Małopolskie,Olkuski,Klucze,Klucze,Ul. Partyzantów,1,,32-310,Klucze,326471460,,gok@gmina-klucze.pl
Gminne Centrum Kultury W Czersku,Pomorskie,Chojnicki,Czersk,Czersk,Ul. Szkolna,11,,89-650,Czersk,523984740,,sekretariat@gck.czersk.pl
Ośrodek Kultury,Lubelskie,Kraśnicki,Urzędów,Urzędów,Ul. Błażeja Dzikowskiego,1,,23-250,Urzędów,818225081,www.gokurzedow.pl,gok@gokurzedow.pl
Gołaniecki Ośrodek Kultury,Wielkopolskie,Wągrowiecki,Gołańcz,Gołańcz,Ul. Doktora Piotra Kowalika,1,,62-130,Gołańcz,672615077,www.golanczgok.pl,gok@golancz.pl
Gminny Ośrodek Kultury W Mogilanach,Małopolskie,Krakowski,Mogilany,Mogilany,Ul. Grodzka,1,,32-031,Mogilany,122701612,www.gok.mogilany.pl,gok@mogilany.pl
Gminny Ośrodek Kultury W Pomiechówku,Mazowieckie,Nowodworski,Pomiechówek,Pomiechówek,Ul. Jana Kilińskiego,1,,05-180,Pomiechówek,227854155,,gok@pomiechowek.pl
Gminny Ośrodek Kultury W Przesmykach,Mazowieckie,Siedlecki,Przesmyki,Przesmyki,Ul. 1 Maja,1,,08-109,Przesmyki,256412317,,gok@przesmyki.pl
Gminny Ośrodek Kultury W Rokicinach,Łódzkie,Tomaszowski,Rokiciny,Rokiciny-Kolonia,Ul. Henryka Sienkiewicza,1,,97-221,Rokiciny,447195091,,gok@rokiciny.net
Gminny Ośrodek Kultury W Stanisławowie,Mazowieckie,Miński,Stanisławów,Stanisławów,Ul. Rynek,1,,05-304,Stanisławów,257575007,www.gok.stanislawow.eu,gok@stanislawow.pl
Gminny Ośrodek Kultury W Zalesiu,Lubelskie,Bialski,Zalesie,Zalesie,Ul. Słoneczna,1,,21-512,Zalesie,833759082,,gok@zalesie.pl
Gminny Ośrodek Kultury I Sportu W Wąsoszu,Podlaskie,Grajewski,Wąsosz,Wąsosz,Ul. Piaskowa,1,,19-222,Wąsosz,862731037,,gok3@tlen.pl
Gminny Ośrodek Kultury W Białopolu,Lubelskie,Chełmski,Białopole,Białopole,Ul. Chełmska,1,,22-135,Białopole,825682430,,gokb@vp.pl
Gminny Ośrodek Kultury W Bielsku,Mazowieckie,Płocki,Bielsk,Bielsk,Ul. Glinki,1,,09-230,Bielsk,242615574,,gokbielsk@op.pl
Gminny Ośrodek Kultury,Śląskie,Lubliniecki,Boronów,Boronów,Ul. Poznańska,1,,42-283,Boronów,343539285,www.boronow.pl,gokboronow@wp.pl
Gminny Ośrodek Kultury W Puławach Z Siedzibą W Gołębiu,Lubelskie,Puławski,Puławy,Gołąb,Ul. Folwarki,1,,24-100,Puławy,818813222,www.gokgolab.pulawy.pl,gokgolab@wp.pl
Gminny Ośrodek Kultury W Grabowie,Podlaskie,Kolneński,Grabowo,Grabowo,Ul. Szkolna,1,,18-507,Grabowo,862790078,,gokgrabowo@wp.pl
Gminny Ośrodek Kultury I Czytelnictwa,Podkarpackie,Łańcucki,Białobrzegi,Białobrzegi,,1,,37-114,Białobrzegi,172245278,,gokicz@gmina-bialobrzegi.pl
Gminny Ośrodek Kultury I Rekreacji W Głuchowie,Łódzkie,Skierniewicki,Głuchów,Głuchów,Plac Uniwersytecki,1,,96-130,Głuchów,,,gokir@gminagluchow.pl
Gminny Ośrodek Kultury I Rekreacji W Wojaszówce,Podkarpackie,Krośnieński,Wojaszówka,Odrzykoń,Ul. Władysława Jagiełły,1,,38-406,Odrzykoń,134311758,,gokirodrzykon@op.pl
Gminny Ośrodek Kultury I Sportu W Radominie,Kujawsko-Pomorskie,Golubsko-Dobrzyński,Radomin,Radomin,,1,,87-404,Radomin,797189920,,gokis@radomin.pl
Gminny Ośrodek Kultury I Sportu W Starej Białej Z/S W Białej,Mazowieckie,Płocki,Stara Biała,Biała,Ul. Jana Kazimierza,1,,09-411,Biała,243644560,,gokis@starabiala.pl
Gminny Ośrodek Kultury I Sportu W Buczku,Łódzkie,Łaski,Buczek,Buczek,Ul. Szkolna,1,,98-113,Buczek,436774096,,gokis1@interia.pl
Gminny Ośrodek Kultury,Lubelskie,Puławski,Janowiec,Janowiec,Ul. Plac Wolności,1,,24-123,Janowiec,818815289,www.gok.janowiec.pl/kontakt,gokjanowiec@gmail.com
Gminny Ośrodek Kultury Im. Wł.Reymonta,Wielkopolskie,Wrzesiński,Kołaczkowo,Kołaczkowo,Plac Władysława Reymonta,1,,62-306,Kołaczkowo,614385078,,gokkolaczkowo@wp.pl
Gminny Ośrodek Kultury W Rozogach,Warmińsko-Mazurskie,Szczycieński,Rozogi,Rozogi,Ul. Plac Jana Pawła Ii,1,,12-114,Rozogi,297226048,,gokrozogi@wp.pl
Gminny Ośrodek Kultury W Smołdzinie,Pomorskie,Słupski,Smołdzino,Smołdzino,Ul. Bohaterów Warszawy,30,,76-214,Smołdzino,531808206,,cksir.smoldzino@gmail.com
Gminny Ośrodek Kultury W Rzeczycy,Łódzkie,Tomaszowski,Rzeczyca,Rzeczyca,Ul. Parkowa,1,,97-220,Rzeczyca,447105218,,gokrzeczyca@o2.pl
"Gminny Ośrodek Kultury, Sportu I Rekreacji W Mielniku",Podlaskie,Siemiatycki,Mielnik,Mielnik,Ul. Zaszkolna,1,,17-307,Mielnik,856577167,www.goksir.mielnik.com.pl,goksir@mielnik.com.pl
"Gminny Ośrodek Kultury, Sportu I Turystyki W Sokolnikach",Łódzkie,Wieruszowski,Sokolniki,Sokolniki,Ul. Parkowa,1,,98-420,Sokolniki,627845102,,goksit@sokolniki.pl
Gminny Ośrodek Kultury W Służewie,Kujawsko-Pomorskie,Aleksandrowski,Aleksandrów Kujawski,Służewo,Ul. Brzeska,1,,87-710,Służewo,542820014,,goksluzewo@op.pl
Gminny Ośrodek Kultury W Żołyni,Podkarpackie,Łańcucki,Żołynia,Żołynia,Ul. Smolarska,1,,37-110,Żołynia,172243061,www.gok.zolynia.pl,gokzolynia@interia.eu
"Gminny Ośrodek Kultury, Sportu I Turystyki W Woli Uhruskiej",Lubelskie,Włodawski,Wola Uhruska,Wola Uhruska,Ul. Sportowa,1,,22-230,Wola Uhruska,825915003,,goskit@wolauhruska.pl
Centrum Kultury W Łęcznej,Lubelskie,Łęczyński,Łęczna,Łęczna,Ul. Obrońców Pokoju,1,,21-010,Łęczna,817521547,www.ck.leczna.pl,info@ck.leczna.pl
Miejski Ośrodek Kultury Im.Władysława Sebyły W Kłobucku,Śląskie,Kłobucki,Kłobuck,Kłobuck,Ul. Targowa,1,,42-100,Kłobuck,343172991,www.mokklobuck.pl,info@mokklobuck.pl
Ińskie Centrum Kultury,Zachodniopomorskie,Stargardzki,Ińsko,Ińsko,Ul. Przybrzeżna,1,,73-140,Ińsko,915623084,,inskiecentrum@gmail.com
Gminne Centrum Kultury I Kultury Fizycznej W Jedlińsku,Mazowieckie,Radomski,Jedlińsk,Jedlińsk,Ul. Krótka,1,,26-660,Jedlińsk,483213052,,jedlinskgckikf@vp.pl
Gminny Ośrodek Kultury,Śląskie,Żywiecki,Jeleśnia,Jeleśnia,Ul. Plebańska,1,,34-340,Jeleśnia,338636668,,jelesniagok@gmail.com
Miejsko-Gminny Ośrodek Kultury I Rekreacji W Mroczy,Kujawsko-Pomorskie,Nakielski,Mrocza,Mrocza,Ul. Sportowa,1,,89-115,Mrocza,523856113,,kontakt@mgokir.pl
Miejski Ośrodek Kultury W Pionkach,Mazowieckie,Radomski,Pionki,Pionki,Ul. Radomska,1,,26-670,Pionki,603943388,www.mok.pionki.pl/kontakt/,kontakt@mok.pionki.pl
Nadnoteckie Centrum Kultury W Wieleniu,Wielkopolskie,Czarnkowsko-Trzcianecki,Wieleń,Wieleń,Ul. Dworcowa,1,,64-730,Wieleń,672561659,,ksiegowosc_mgok@op.pl
Centrum Kultury I Biblioteka W Nowej Sarzynie,Podkarpackie,Leżajski,Nowa Sarzyna,Nowa Sarzyna,Ul. 1 Maja,1,,37-310,Nowa Sarzyna,172411507,,kultura.sarzyna@gmail.com
Gminny Dom Kultury,Mazowieckie,Garwoliński,Sobolew,Sobolew,Ul. Rynek,1,,08-460,Sobolew,502374772,www.gdksobolew.pl/kontakt/,kultura.sobolew@wp.pl
"Gminny Ośrodek Informacji, Kultury I Czytelnictwa W Zębowicach",Opolskie,Oleski,Zębowice,Zębowice,Ul. Izydora Murka,1,,46-048,Zębowice,774216076,,kultura.zebowice@interia.pl
"Biblioteka I Centrum Kultury, Rekreacji Im. Jana Z Domachowa Bzdęgi W Krobi",Wielkopolskie,Gostyński,Krobia,Krobia,Ul. Sportowa,1,,63-840,Krobia,655711320,,kultura@krobia.pl
Ośrodek Kultury I Biblioteki W Moszczenicy,Małopolskie,Gorlicki,Moszczenica,Moszczenica,Ul. Samorządowa,1,,38-321,Moszczenica,183541084,,kultura@okibmoszczenica.pl
Lubartowski Ośrodek Kultury,Lubelskie,Lubartowski,Lubartów,Lubartów,Ul. Rynek Ii,1,,21-100,Lubartów,818552242,,l.o.k@interia.pl
Libiąskie Centrum Kultury,Małopolskie,Chrzanowski,Libiąż,Libiąż,Ul. Górnicza,1,,32-590,Libiąż,326271262,www.libiaz.pl,lck_@poczta.onet.pl
Gminny Dom Kultury,Lubelskie,Puławski,Markuszów,Markuszów,Ul. Marka Sobieskiego,1,,24-173,Markuszów,818818025,,lowczak@poczta.onet.pl
Młodzieżowy Dom Kultury W Opolu,Opolskie,M. Opole,M. Opole,Opole,Ul. Strzelców Bytomskich,1,,45-084,Opole,774542714,www.mdk.opole.pl,mdk@mdk.opole.pl
Miejski Dom Kultury,Dolnośląskie,Zgorzelecki,Zgorzelec,Zgorzelec,Ul. Parkowa,1,,59-900,Zgorzelec,757752415,www.mdk.zgorzelec.com,mdk@zgorzelec.eu
Młodzieżowy Dom Kultury Nr 1 Im. Artystów Rodu Kossaków,Śląskie,M. Tychy,M. Tychy,Tychy,Ul. Księdza Kardynała Augusta Hlonda,1,,43-100,Tychy,322273059,www.mdk1tychy.edupage.org,mdk1@oswiata.tychy.pl
Młodzieżowy Dom Kultury Nr 3,Wielkopolskie,M. Poznań,Poznań-Grunwald,Poznań,Ul. Kazimierza Jarochowskiego,1,,60-235,Poznań,618665747,www.mdk3.lazarz.pl,mdk3@tmpsc.pl
Miejsko - Gminny Ośrodek Kultury W Dąbrowie Białostockiej,Podlaskie,Sokólski,Dąbrowa Białostocka,Dąbrowa Białostocka,Ul. Gen. E. J. Godlewskiego,1,,16-200,Dąbrowa Białostocka,857121109,www.mgok-db.webpark.pl,mgok-db@o2.pl
Miejsko-Gminny Ośrodek Kultury W Kisielicach,Warmińsko-Mazurskie,Iławski,Kisielice,Kisielice,Ul. Polna,1,,14-220,Kisielice,552785500,,mgok@kisielice.pl
Miejsko-Gminny Ośrodek Kultury W Skępem,Kujawsko-Pomorskie,Lipnowski,Skępe,Skępe,Ul. Dobrzyńska,1,,87-630,Skępe,531681401,,mgok@mgok.skepe.pl
"Miejsko-Gminny Ośrodek Kultury,Pogorzela",Wielkopolskie,Gostyński,Pogorzela,Pogorzela,Ul. Plac Powstańców Wielkopolskich,1,,63-860,Pogorzela,655734663,,mgok@poczta.onet.eu
Miejsko-Gminny Ośrodek Kultury W Tolkmicku,Warmińsko-Mazurskie,Elbląski,Tolkmicko,Tolkmicko,Ul. Świętojańska,1,,82-340,Tolkmicko,552316182,www.tolkmicko.com.pl,mgok3@wp.pl
Miejsko-Gminny Ośrodek Kultury W Łasinie,Kujawsko-Pomorskie,Grudziądzki,Łasin,Łasin,Ul. Curie-Skłodowskiej,1,,86-320,Łasin,564664200,,mgokis@lasin.pl
Miejsko-Gminny Ośrodek Kultury,Wielkopolskie,Ostrzeszowski,Mikstat,Mikstat,Ul. Chopina,1,,63-510,Mikstat,627310048,www.mgokmikstat.pl,mgokmix@vp.pl
Miejsko-Gminny Ośrodek Kultury,Świętokrzyskie,Kazimierski,Skalbmierz,Skalbmierz,Ul. Stanisława Romanowskiego,1,,28-530,Skalbmierz,413529005,,mgokskalbmierz@op.pl
Miejsko-Gminny Ośrodek Kultury W Tyczynie Im. Katarzyny Sobczyk,Podkarpackie,Rzeszowski,Tyczyn,Tyczyn,Ul. Mickiewicza,1,,36-020,Tyczyn,172219363,,mgoktyczyn@op.pl
Miejski Ośrodek Kultury,Śląskie,M. Żory,M. Żory,Żory,Ul. Dolne Przedmieście,1,,44-240,Żory,324342436,www.mok.zory.pl,mok@mok.zory.pl
Miejski Ośrodek Kultury,Mazowieckie,Otwocki,Józefów,Józefów,Ul. Kardynała Stefana Wyszyńskiego,1,,05-420,Józefów,227892026,www.mokjozefow.pl,mok@mokjozefow.pl
Miejski Ośrodek Kultury W Sulejowie,Łódzkie,Piotrkowski,Sulejów,Sulejów,Ul. Rynek,1,,97-330,Sulejów,446162533,,mok@sulejow.pl
Miejski Ośrodek Kultury W Pszowie,Śląskie,Wodzisławski,Pszów,Pszów,Ul. Romualda Traugutta,1,,44-370,Pszów,324557454,,mokpszow@mokpszow.pl
Ognisko Pracy Pozaszkolnej W Wągrowcu,Wielkopolskie,Wągrowiecki,Wągrowiec,Wągrowiec,Ul. Wierzbowa,1,,62-100,Wągrowiec,672626227,www.ogniskoppwagrowiec.pl,ogniskopp@poczta.onet.pl
Gminny Ośrodek Kultury,Mazowieckie,Pruszkowski,Brwinów,Brwinów,Ul. Pałacowa,1,,05-840,Brwinów,227295934,www.ok.brwnino.pl,ok@ok.brwinow.pl
